	coin	duration	gameid	hero	id	mana	mode	name	opponent	player	result	turn
0	False	498	67018867	Warlock	CS2_189	1.0	ranked	Elven Archer	Shaman	opponent	loss	1
1	False	498	67018867	Warlock	CS2_034	2.0	ranked	Fireblast	Shaman	me	loss	2
2	False	498	67018867	Warlock	GAME_005		ranked	The Coin	Shaman	opponent	loss	2
3	False	498	67018867	Warlock	CS2_124	3.0	ranked	Wolfrider	Shaman	opponent	loss	2
4	False	498	67018867	Warlock	EX1_277	1.0	ranked	Arcane Missiles	Shaman	me	loss	3
5	False	498	67018867	Warlock	CS2_034	2.0	ranked	Fireblast	Shaman	me	loss	3
6	False	498	67018867	Warlock	CS2_083b	2.0	ranked	Dagger Mastery	Shaman	opponent	loss	3
7	False	498	67018867	Warlock	CS2_074	1.0	ranked	Deadly Poison	Shaman	opponent	loss	3
8	False	498	67018867	Warlock	CS2_027	1.0	ranked	Mirror Image	Shaman	me	loss	4
9	False	498	67018867	Warlock	CS2_034	2.0	ranked	Fireblast	Shaman	me	loss	4
10	False	498	67018867	Warlock	CS2_072	0.0	ranked	Backstab	Shaman	opponent	loss	4
11	False	498	67018867	Warlock	NEW1_022	4.0	ranked	Dread Corsair	Shaman	opponent	loss	4
12	False	498	67018867	Warlock	CS2_124	3.0	ranked	Wolfrider	Shaman	opponent	loss	4
13	False	498	67018867	Warlock	tt_010	3.0	ranked	Spellbender	Shaman	me	loss	5
14	False	498	67018867	Warlock	KAR_092	2.0	ranked	Medivh's Valet	Shaman	me	loss	5
15	False	498	67018867	Warlock	CS2_083b	2.0	ranked	Dagger Mastery	Shaman	opponent	loss	5
16	False	498	67018867	Warlock	EX1_522	2.0	ranked	Patient Assassin	Shaman	opponent	loss	5
17	False	498	67018867	Warlock	EX1_095	6.0	ranked	Gadgetzan Auctioneer	Shaman	me	loss	6
18	False	498	67018867	Warlock	CS2_147	4.0	ranked	Gnomish Inventor	Shaman	opponent	loss	6
19	False	498	67018867	Warlock	CS2_083b	2.0	ranked	Dagger Mastery	Shaman	opponent	loss	6
20	False	498	67018867	Warlock	CFM_851	4.0	ranked	Daring Reporter	Shaman	me	loss	7
21	False	498	67018867	Warlock	CS2_034	2.0	ranked	Fireblast	Shaman	me	loss	7
22	False	498	67018867	Warlock	EX1_593	5.0	ranked	Nightblade	Shaman	opponent	loss	7
23	False	498	67018867	Warlock	CS2_083b	2.0	ranked	Dagger Mastery	Shaman	opponent	loss	7
24	False	498	67018867	Warlock	CS2_032	7.0	ranked	Flamestrike	Shaman	me	loss	8
25	False	498	67018867	Warlock	CS2_074	1.0	ranked	Deadly Poison	Shaman	opponent	loss	8
